experiment,fold,rmsle,best_iteration,rmsle_std,oof_rmsle,fit_seconds
v2_lgbm_log,1,0.14864333053537393,357,,,
v2_lgbm_log,2,0.1484803896409228,534,,,
v2_lgbm_log,3,0.14934876434116026,724,,,
v2_lgbm_log,4,0.14895644399464966,367,,,
v2_lgbm_log,5,0.15059042925485058,408,,,
v2_lgbm_log,mean,0.14920387155339146,478,0.0007539746529953615,0.14920577657818174,14.115573109999787
v2_te_lgbm_log,1,0.14688025622495005,183,,,
v2_te_lgbm_log,2,0.1473777157092366,273,,,
v2_te_lgbm_log,3,0.14808920333459136,216,,,
v2_te_lgbm_log,4,0.1477311536323468,277,,,
v2_te_lgbm_log,5,0.14874195800836904,244,,,
v2_te_lgbm_log,mean,0.1477640573818988,239,0.0006314200750050934,0.14776540645655933,12.644326788999933
