experiment,fold,rmsle,best_iteration,rmsle_std,oof_rmsle,fit_seconds,weights,log_space
xgb,1,0.14713909129740754,485.0,,,,,
xgb,2,0.14749734886320406,596.0,,,,,
xgb,3,0.14814570517115266,560.0,,,,,
xgb,4,0.14780465244045224,383.0,,,,,
xgb,5,0.14892012686897202,745.0,,,,,
xgb,mean,0.14790138492823773,554.0,0.000608477019870826,0.14790263658222746,17.123164433000056,,
cat,1,0.1470937353418177,1053.0,,,,,
cat,2,0.14718455039938413,969.0,,,,,
cat,3,0.14804116969966422,1276.0,,,,,
cat,4,0.14765922688020428,912.0,,,,,
cat,5,0.1488769620676179,1043.0,,,,,
cat,mean,0.14777112887773763,1051.0,0.0006498072729930262,0.14777255759880784,47.4045172240003,,
lgbm,mean,0.14760722753071517,,,,,,
xgb,mean,0.14790263658222746,,,,,,
cat,mean,0.14777255759880784,,,,,,
equal_linear,blend,0.14752885314160608,,,,,"lgbm:0.333333,xgb:0.333333,cat:0.333333",False
equal_log,blend,0.14752991487243183,,,,,"lgbm:0.333333,xgb:0.333333,cat:0.333333",True
weighted_linear,blend,0.14752885314160608,,,,,"lgbm:0.333333,xgb:0.333333,cat:0.333333",False
weighted_log,blend,0.14752991487243183,,,,,"lgbm:0.333333,xgb:0.333333,cat:0.333333",True
